org_id,account_name,account_id,has_2026_02_modified_today,record_id,metric_period_key,date,last_modified_by,last_modified_at
00Df4000001e8sNEAQ,Monk Botanical Gardens,001Vs00000of9u0IAA,YES,a3wVs000001uJc5IAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:37:04
00D5A0000007tpJUAQ,Space Foundation,0015w00002QYutyAAD,YES,a3wVs000001uJIjIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:41:29
00Dfh000004XyRQEA0,United States Marshals Museum,0018W00002PA9c6QAD,YES,a3wVs000001uJdhIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:43:32
00DHs00000NDm82MAD,Museum of the African Diaspora,001Vs000004MuAzIAK,YES,a3wVs000001uJx3IAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:37:37
00DHs000002jwKbMAI,San Diego History Center,0018W00002XVmYvQAL,YES,a3wVs000001uJtpIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:40:19
00Dfn000005dQ1OEAU,"Masonic Temple, Library & Museum",001Vs00000VlKMRIA3,YES,a3wVs000001uJgvIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:36:34
00DfI00000QQvCeUAL,High Desert Museum,001Vs00000D3ZxrIAF,YES,a3wVs000001uJfJIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:34:11
00Dbn00000oGPyxEAG,Vermont Historical Society,001Vs00000GzdrRIAR,YES,a3wVs000001uJXFIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:43:42
00DHr0000012MDfMAM,Delta Flight Museum,0018W00002GPpFWQA1,YES,a3wVs000001uJnNIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:30:49
00Dfn00000CeUoTEAV,kidSTREAM Children's Museum,001Vs00000T8NnvIAF,YES,a3wVs000001uJiXIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:34:57
00Dam00001c4sUrEAI,Newport Historical Society Museum,001Vs00000bh2g2IAA,YES,a3wVs000001uJSPIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:38:31
00Dal00001OBRWPEA5,Tucson Botanical Gardens,001Vs00000bgJiqIAE,YES,a3wVs000001uJQnIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:43:23
